2021-01-13 02:49:34,829 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from golf_link-1
2021-01-13 02:49:34,830 INFO  ExportHelperExtension.cs: 1136 - Found 24 in golf_link-1
2021-01-13 02:49:34,830 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in golf_link-1
2021-01-13 02:49:34,831 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor wheel-1
2021-01-13 02:49:34,832 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-1
2021-01-13 02:49:34,833 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor wheel-1
2021-01-13 02:49:34,834 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from YDLidar G2-1
2021-01-13 02:49:34,835 INFO  ExportHelperExtension.cs: 1136 - Found 23 in YDLidar G2-1
2021-01-13 02:49:34,835 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in YDLidar G2-1
2021-01-13 02:49:34,836 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_link-1
2021-01-13 02:49:34,837 INFO  ExportHelperExtension.cs: 1136 - Found 87 in base_link-1
2021-01-13 02:49:34,838 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base_link-1
2021-01-13 02:49:34,839 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from IntelRealsense_D435_Multibody-1
2021-01-13 02:49:34,841 INFO  ExportHelperExtension.cs: 1136 - Found 93 in IntelRealsense_D435_Multibody-1
2021-01-13 02:49:34,842 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in IntelRealsense_D435_Multibody-1
2021-01-13 02:49:34,843 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor wheel-2
2021-01-13 02:49:34,844 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-2
2021-01-13 02:49:34,845 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor wheel-2
2021-01-13 02:49:34,846 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from PCB, MPU-9255-1
2021-01-13 02:49:34,846 INFO  ExportHelperExtension.cs: 1136 - Found 36 in PCB, MPU-9255-1
2021-01-13 02:49:34,847 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in PCB, MPU-9255-1
2021-01-13 02:49:34,847 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from robot_serving.SLDASM
2021-01-13 02:49:34,848 INFO  ExportHelperExtension.cs: 1136 - Found 74 in robot_serving.SLDASM
2021-01-13 02:49:34,849 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [RefAxis] in robot_serving.SLDASM
2021-01-13 02:49:34,849 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-01-13 02:49:34,850 INFO  ExportHelperExtension.cs: 1160 - 8 components to check
2021-01-13 02:49:34,850 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from serv_link-1
2021-01-13 02:49:34,851 INFO  ExportHelperExtension.cs: 1136 - Found 33 in serv_link-1
2021-01-13 02:49:34,852 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in serv_link-1
2021-01-13 02:49:34,852 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from golf_link-1
2021-01-13 02:49:34,853 INFO  ExportHelperExtension.cs: 1136 - Found 24 in golf_link-1
2021-01-13 02:49:34,853 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in golf_link-1
2021-01-13 02:49:34,854 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from motor wheel-1
2021-01-13 02:49:34,854 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-1
2021-01-13 02:49:34,855 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in motor wheel-1
